epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.06,0.0311,0.0
1,0.00996,-0.0576,-0.0898,0.3846
2,0.00993,-0.1658,-0.1803,0.5344
3,0.00989,-0.1693,-0.1682,0.5024
4,0.00986,-0.211,-0.2719,0.5687
5,0.00982,-0.2287,-0.2824,0.6259
6,0.00978,-0.2559,-0.2338,0.5793
7,0.00975,-0.2642,-0.2724,0.6122
8,0.00971,-0.2615,-0.239,0.5602
9,0.00968,-0.2899,-0.3419,0.6775
10,0.00964,-0.3109,-0.3726,0.6302
11,0.0096,-0.2652,-0.3316,0.6517
12,0.00957,-0.3144,-0.2712,0.5582
13,0.00953,-0.2966,-0.3388,0.6713
14,0.00949,-0.3294,-0.3952,0.7303
15,0.00946,-0.3462,-0.3754,0.6945
16,0.00942,-0.3009,-0.3665,0.6964
17,0.00939,-0.3219,-0.3835,0.6551
18,0.00935,-0.3747,-0.3877,0.7334
19,0.00931,-0.3294,-0.3792,0.7094
20,0.00928,-0.3513,-0.3963,0.7382
21,0.00924,-0.3855,-0.4025,0.7226
22,0.0092,-0.4093,-0.4142,0.6997
23,0.00917,-0.3927,-0.4079,0.7275
24,0.00913,-0.408,-0.4817,0.7658
25,0.0091,-0.4062,-0.4788,0.7792
26,0.00906,-0.4197,-0.3986,0.6791
27,0.00902,-0.384,-0.4145,0.7236
28,0.00899,-0.4124,-0.4498,0.7203
29,0.00895,-0.4043,-0.4654,0.7432
30,0.00891,-0.4458,-0.404,0.6947
31,0.00888,-0.4301,-0.465,0.7543
32,0.00884,-0.4225,-0.4581,0.7394
33,0.0088,-0.4427,-0.4301,0.7627
34,0.00877,-0.4178,-0.3984,0.6712
35,0.00873,-0.428,-0.4885,0.7467
36,0.00869,-0.4375,-0.4859,0.7497
37,0.00866,-0.4342,-0.4629,0.719
38,0.00862,-0.4477,-0.4363,0.7604
39,0.00858,-0.4775,-0.4691,0.7444
40,0.00855,-0.4365,-0.4741,0.7529
41,0.00851,-0.4743,-0.4335,0.725
42,0.00847,-0.4794,-0.4936,0.7328
43,0.00844,-0.4677,-0.4504,0.7201
44,0.0084,-0.5012,-0.5293,0.8106
45,0.00836,-0.4684,-0.4751,0.7655
46,0.00833,-0.4861,-0.5221,0.7892
47,0.00829,-0.4194,-0.4263,0.6821
48,0.00825,-0.4519,-0.4183,0.7504
49,0.00822,-0.4648,-0.4314,0.7325
50,0.00818,-0.4594,-0.476,0.7569
51,0.00814,-0.4495,-0.5422,0.7639
52,0.00811,-0.4611,-0.4919,0.7665
53,0.00807,-0.4779,-0.4692,0.7835
54,0.00803,-0.4651,-0.524,0.7792
55,0.008,-0.4242,-0.4774,0.7839
56,0.00796,-0.4807,-0.5082,0.7308
57,0.00792,-0.4621,-0.5546,0.7662
58,0.00789,-0.4769,-0.4696,0.7686
59,0.00785,-0.4669,-0.505,0.7509
60,0.00781,-0.5039,-0.5094,0.7666
61,0.00777,-0.4918,-0.4349,0.7601
62,0.00774,-0.4743,-0.5664,0.8036
63,0.0077,-0.5085,-0.4911,0.774
64,0.00766,-0.491,-0.4639,0.7662
65,0.00763,-0.4548,-0.4742,0.7999
66,0.00759,-0.4703,-0.463,0.7752
67,0.00755,-0.4862,-0.519,0.7616
