epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.117,0.0437,0.0
1,0.00998,0.0096,-0.0246,0.0
2,0.00996,-0.0666,-0.1308,0.2058
3,0.00995,-0.1439,-0.2258,0.5165
4,0.00993,-0.1828,-0.2666,0.5473
5,0.00991,-0.2295,-0.3188,0.6368
6,0.00989,-0.2864,-0.2852,0.6227
7,0.00987,-0.302,-0.3264,0.6455
8,0.00986,-0.3395,-0.3684,0.7014
9,0.00984,-0.3293,-0.3565,0.6983
10,0.00982,-0.4056,-0.4172,0.6829
11,0.0098,-0.3525,-0.4029,0.7021
12,0.00978,-0.3611,-0.4012,0.699
13,0.00977,-0.3901,-0.3869,0.6506
14,0.00975,-0.3869,-0.3967,0.6554
15,0.00973,-0.4168,-0.3911,0.7174
16,0.00971,-0.4045,-0.3995,0.6916
17,0.00969,-0.4309,-0.4331,0.6807
18,0.00968,-0.4196,-0.4257,0.6964
19,0.00966,-0.4307,-0.4794,0.7023
20,0.00964,-0.4382,-0.4529,0.727
21,0.00962,-0.4528,-0.4392,0.7264
22,0.0096,-0.4518,-0.4542,0.6857
23,0.00959,-0.4295,-0.4628,0.7449
24,0.00957,-0.4666,-0.447,0.7667
25,0.00955,-0.446,-0.4934,0.7147
26,0.00953,-0.4696,-0.4836,0.6823
27,0.00951,-0.4607,-0.4372,0.6933
28,0.00949,-0.4665,-0.4808,0.743
29,0.00948,-0.4467,-0.4686,0.7081
30,0.00946,-0.4665,-0.438,0.7346
31,0.00944,-0.4673,-0.4558,0.7248
32,0.00942,-0.4961,-0.4768,0.7566
33,0.0094,-0.489,-0.476,0.7459
34,0.00939,-0.4907,-0.5485,0.7715
35,0.00937,-0.4857,-0.5105,0.7092
36,0.00935,-0.4947,-0.5123,0.7703
37,0.00933,-0.4963,-0.5492,0.7899
38,0.00931,-0.4759,-0.4494,0.7243
39,0.0093,-0.4847,-0.5151,0.7792
40,0.00928,-0.5233,-0.5433,0.7654
41,0.00926,-0.5004,-0.5101,0.7007
42,0.00924,-0.5033,-0.5014,0.7913
43,0.00922,-0.4946,-0.4852,0.7026
44,0.0092,-0.5167,-0.4835,0.7417
45,0.00919,-0.5315,-0.5574,0.7195
46,0.00917,-0.5156,-0.5241,0.7529
47,0.00915,-0.5163,-0.4744,0.7695
48,0.00913,-0.4855,-0.5294,0.7919
49,0.00911,-0.5302,-0.554,0.7669
50,0.0091,-0.5295,-0.5137,0.7297
51,0.00908,-0.5221,-0.5205,0.7445
52,0.00906,-0.517,-0.5185,0.7672
53,0.00904,-0.5369,-0.5753,0.7905
54,0.00902,-0.5469,-0.5466,0.7534
55,0.009,-0.5256,-0.5579,0.7672
56,0.00899,-0.5204,-0.5065,0.7794
57,0.00897,-0.5396,-0.5058,0.7621
58,0.00895,-0.5369,-0.5104,0.7373
59,0.00893,-0.5287,-0.5777,0.7654
60,0.00891,-0.5363,-0.5272,0.8073
61,0.00889,-0.5258,-0.5311,0.7606
62,0.00888,-0.5323,-0.5531,0.7851
63,0.00886,-0.5248,-0.5427,0.7885
64,0.00884,-0.5186,-0.5796,0.7681
65,0.00882,-0.5491,-0.5338,0.7977
66,0.0088,-0.54,-0.5157,0.7929
67,0.00879,-0.5365,-0.5191,0.8093
68,0.00877,-0.5056,-0.5768,0.796
69,0.00875,-0.5363,-0.5445,0.7568
70,0.00873,-0.5164,-0.5631,0.7817
71,0.00871,-0.5563,-0.5617,0.7989
72,0.00869,-0.53,-0.5699,0.7551
73,0.00868,-0.5499,-0.5309,0.7554
74,0.00866,-0.5429,-0.5378,0.7715
75,0.00864,-0.5281,-0.5346,0.7723
76,0.00862,-0.529,-0.5294,0.7751
77,0.0086,-0.5159,-0.48,0.7814
78,0.00858,-0.5323,-0.505,0.7496
79,0.00857,-0.5482,-0.522,0.7671
80,0.00855,-0.5389,-0.5613,0.7636
81,0.00853,-0.5496,-0.5254,0.773
82,0.00851,-0.5369,-0.5437,0.7877
83,0.00849,-0.5286,-0.51,0.7678
84,0.00847,-0.5379,-0.526,0.7929
85,0.00846,-0.5747,-0.5634,0.7854
86,0.00844,-0.5709,-0.5469,0.7675
87,0.00842,-0.5407,-0.5436,0.7759
88,0.0084,-0.5732,-0.5282,0.7947
89,0.00838,-0.5699,-0.569,0.8033
90,0.00836,-0.5474,-0.4902,0.7562
91,0.00835,-0.5643,-0.5422,0.7938
92,0.00833,-0.5711,-0.5974,0.82
93,0.00831,-0.5607,-0.5811,0.7785
94,0.00829,-0.5364,-0.547,0.7895
95,0.00827,-0.5523,-0.5537,0.8118
96,0.00825,-0.5468,-0.5975,0.7709
97,0.00824,-0.5705,-0.5845,0.812
98,0.00822,-0.5597,-0.5832,0.8207
99,0.0082,-0.5572,-0.4412,0.7195
100,0.00818,-0.5465,-0.5384,0.7783
101,0.00816,-0.5586,-0.5028,0.7784
102,0.00814,-0.5619,-0.5782,0.8032
103,0.00813,-0.5663,-0.552,0.7954
104,0.00811,-0.5851,-0.5938,0.7785
105,0.00809,-0.556,-0.5732,0.809
106,0.00807,-0.5784,-0.5431,0.8042
