epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.9247,0.8812,0.169
1,0.00998,0.8716,0.875,0.1586
2,0.00996,0.8017,0.7557,0.4202
3,0.00995,0.7972,0.7414,0.4276
4,0.00993,0.7734,0.7546,0.4984
5,0.00991,0.7474,0.6492,0.5444
6,0.00989,0.7174,0.7468,0.4207
7,0.00987,0.7256,0.6531,0.6407
8,0.00986,0.6927,0.6125,0.6761
9,0.00984,0.6608,0.6162,0.634
10,0.00982,0.6867,0.6266,0.5957
11,0.0098,0.6554,0.5789,0.6457
12,0.00978,0.6403,0.6252,0.6409
13,0.00977,0.6368,0.6274,0.6356
14,0.00975,0.6227,0.5859,0.6785
15,0.00973,0.6112,0.6144,0.6289
16,0.00971,0.6189,0.5573,0.6601
17,0.00969,0.5857,0.5802,0.6699
18,0.00968,0.5889,0.5823,0.6542
19,0.00966,0.5747,0.5146,0.7354
20,0.00964,0.5824,0.5868,0.6599
21,0.00962,0.5971,0.5692,0.6791
22,0.0096,0.5906,0.578,0.7087
23,0.00959,0.5805,0.5934,0.6274
24,0.00957,0.5828,0.5572,0.6478
25,0.00955,0.5638,0.5855,0.6985
26,0.00953,0.5891,0.6038,0.6046
27,0.00951,0.5817,0.5728,0.6976
28,0.00949,0.5642,0.522,0.6846
29,0.00948,0.565,0.5721,0.7204
30,0.00946,0.536,0.5503,0.6975
31,0.00944,0.5642,0.5694,0.747
32,0.00942,0.5309,0.5063,0.6805
33,0.0094,0.5164,0.499,0.7248
34,0.00939,0.5351,0.4946,0.7414
35,0.00937,0.5556,0.4739,0.7419
36,0.00935,0.5379,0.5055,0.7359
37,0.00933,0.5251,0.4899,0.7448
38,0.00931,0.5269,0.5089,0.7297
39,0.0093,0.5439,0.4609,0.7491
40,0.00928,0.5199,0.5203,0.6735
41,0.00926,0.5568,0.5435,0.6582
42,0.00924,0.4957,0.5672,0.6828
43,0.00922,0.5116,0.5054,0.7298
44,0.0092,0.5075,0.4953,0.7062
45,0.00919,0.5043,0.5517,0.7324
46,0.00917,0.5043,0.5268,0.6693
47,0.00915,0.4894,0.506,0.7251
48,0.00913,0.5214,0.4534,0.7761
49,0.00911,0.4952,0.4926,0.7283
50,0.0091,0.5032,0.4685,0.7722
51,0.00908,0.501,0.4675,0.7494
52,0.00906,0.4853,0.4757,0.7598
53,0.00904,0.5183,0.5062,0.7009
54,0.00902,0.5031,0.4948,0.7246
55,0.009,0.5083,0.5864,0.5787
56,0.00899,0.5117,0.4671,0.7585
57,0.00897,0.4696,0.4799,0.7445
58,0.00895,0.4752,0.4834,0.6721
59,0.00893,0.487,0.4742,0.7255
60,0.00891,0.4918,0.4728,0.7491
61,0.00889,0.4789,0.4375,0.7726
62,0.00888,0.4817,0.474,0.7378
63,0.00886,0.4932,0.4666,0.7536
64,0.00884,0.4883,0.5466,0.6625
65,0.00882,0.4874,0.4755,0.7503
66,0.0088,0.4664,0.5072,0.6827
67,0.00879,0.4827,0.514,0.6772
68,0.00877,0.4978,0.5064,0.7576
69,0.00875,0.4754,0.5332,0.7471
70,0.00873,0.4584,0.4574,0.7639
71,0.00871,0.4543,0.4499,0.754
72,0.00869,0.442,0.4988,0.7345
73,0.00868,0.4872,0.5663,0.7037
74,0.00866,0.4782,0.4678,0.7357
75,0.00864,0.4884,0.4912,0.7518
76,0.00862,0.5167,0.4982,0.7186
77,0.0086,0.4762,0.5011,0.7777
78,0.00858,0.4693,0.473,0.7686
79,0.00857,0.4858,0.4836,0.723
80,0.00855,0.4665,0.4509,0.7584
81,0.00853,0.4681,0.4697,0.7486
82,0.00851,0.4899,0.5236,0.7361
83,0.00849,0.4657,0.4127,0.7848
84,0.00847,0.4823,0.4425,0.7593
85,0.00846,0.4634,0.4945,0.7474
86,0.00844,0.4632,0.4659,0.7818
87,0.00842,0.4398,0.4282,0.7597
88,0.0084,0.4405,0.5045,0.7449
89,0.00838,0.4538,0.5124,0.7497
90,0.00836,0.4956,0.4486,0.789
91,0.00835,0.443,0.4675,0.7593
92,0.00833,0.4512,0.4361,0.7794
93,0.00831,0.444,0.3903,0.7976
94,0.00829,0.4757,0.5592,0.6749
95,0.00827,0.4582,0.4707,0.6969
96,0.00825,0.4608,0.4616,0.7732
97,0.00824,0.4707,0.4883,0.7516
98,0.00822,0.4461,0.4708,0.7708
99,0.0082,0.445,0.5317,0.7024
100,0.00818,0.4571,0.4975,0.7725
101,0.00816,0.4614,0.4151,0.7809
102,0.00814,0.4369,0.479,0.7889
103,0.00813,0.4673,0.4389,0.7402
104,0.00811,0.468,0.4464,0.7557
105,0.00809,0.4655,0.4869,0.7528
106,0.00807,0.4572,0.4532,0.7393
107,0.00805,0.4705,0.458,0.716
108,0.00803,0.458,0.4232,0.7469
109,0.00801,0.4556,0.481,0.7684
110,0.008,0.4546,0.4574,0.7696
111,0.00798,0.452,0.4732,0.7514
112,0.00796,0.4547,0.4681,0.7548
113,0.00794,0.4329,0.4015,0.8188
114,0.00792,0.4638,0.5041,0.7243
115,0.0079,0.4644,0.4726,0.7277
116,0.00789,0.4498,0.4696,0.7763
117,0.00787,0.4528,0.4714,0.7608
118,0.00785,0.4384,0.4899,0.7629
119,0.00783,0.4566,0.4571,0.7384
120,0.00781,0.4472,0.4864,0.7731
121,0.00779,0.4547,0.4702,0.7447
122,0.00777,0.4576,0.4322,0.7879
123,0.00776,0.443,0.4982,0.6969
124,0.00774,0.4453,0.4703,0.7673
125,0.00772,0.4331,0.4569,0.7137
126,0.0077,0.4603,0.4519,0.7598
127,0.00768,0.4352,0.4443,0.7736
128,0.00766,0.4201,0.5027,0.7399
129,0.00764,0.4536,0.4833,0.7746
130,0.00763,0.4469,0.4375,0.76
131,0.00761,0.4315,0.4136,0.7867
132,0.00759,0.4322,0.5032,0.7362
133,0.00757,0.443,0.4388,0.7806
134,0.00755,0.4146,0.4683,0.7234
135,0.00753,0.421,0.5222,0.7318
136,0.00751,0.4316,0.4947,0.7236
137,0.0075,0.4471,0.4488,0.792
138,0.00748,0.4408,0.4652,0.7651
139,0.00746,0.4517,0.4407,0.7942
140,0.00744,0.4693,0.4375,0.7515
141,0.00742,0.4518,0.4713,0.748
142,0.0074,0.4314,0.4787,0.7949
143,0.00738,0.4318,0.4411,0.8047
144,0.00737,0.4263,0.4247,0.801
145,0.00735,0.4116,0.3996,0.8106
146,0.00733,0.4124,0.4071,0.7942
147,0.00731,0.4309,0.4605,0.7914
148,0.00729,0.4069,0.4148,0.7911
149,0.00727,0.4186,0.4457,0.7923
150,0.00725,0.4378,0.4164,0.7928
151,0.00724,0.466,0.4545,0.7233
152,0.00722,0.4338,0.473,0.7801
153,0.0072,0.4626,0.4662,0.7423
154,0.00718,0.3969,0.4638,0.769
155,0.00716,0.41,0.366,0.8075
156,0.00714,0.4182,0.4427,0.802
157,0.00712,0.4631,0.426,0.7851
158,0.0071,0.4662,0.4164,0.8236
159,0.00709,0.4221,0.446,0.7626
160,0.00707,0.4309,0.4397,0.7377
161,0.00705,0.4411,0.4105,0.8177
162,0.00703,0.437,0.4475,0.7561
163,0.00701,0.4382,0.4239,0.791
164,0.00699,0.4267,0.4776,0.788
165,0.00697,0.4457,0.4188,0.7899
166,0.00696,0.425,0.4166,0.8003
167,0.00694,0.4159,0.4164,0.7758
168,0.00692,0.4442,0.4044,0.7558
169,0.0069,0.4199,0.3673,0.7632
170,0.00688,0.4224,0.475,0.7788
171,0.00686,0.4353,0.4396,0.7774
172,0.00684,0.4265,0.4622,0.7756
173,0.00682,0.4236,0.4073,0.7844
174,0.0068,0.4257,0.4487,0.7743
175,0.00679,0.4307,0.4875,0.7704
176,0.00677,0.4189,0.425,0.7723
177,0.00675,0.444,0.4211,0.8024
178,0.00673,0.4469,0.4604,0.7821
179,0.00671,0.4307,0.4246,0.8058
180,0.00669,0.4315,0.4183,0.7778
181,0.00667,0.436,0.4459,0.7282
182,0.00665,0.4377,0.4386,0.7998
183,0.00664,0.434,0.4583,0.758
184,0.00662,0.4198,0.4509,0.7534
185,0.0066,0.3907,0.4148,0.7973
186,0.00658,0.4284,0.414,0.7979
187,0.00656,0.4661,0.4448,0.7752
188,0.00654,0.4133,0.4437,0.7917
189,0.00652,0.4002,0.4172,0.8186
190,0.0065,0.424,0.4654,0.7434
191,0.00648,0.419,0.397,0.7991
192,0.00647,0.4173,0.419,0.7783
193,0.00645,0.4402,0.4704,0.7642
194,0.00643,0.4188,0.4269,0.7744
195,0.00641,0.3937,0.4285,0.8109
196,0.00639,0.4016,0.371,0.8232
197,0.00637,0.3989,0.3846,0.801
198,0.00635,0.4472,0.4261,0.7861
199,0.00633,0.4333,0.5123,0.7641
200,0.00631,0.4295,0.4659,0.7849
201,0.0063,0.445,0.4213,0.771
202,0.00628,0.4574,0.4806,0.754
203,0.00626,0.4326,0.424,0.7972
204,0.00624,0.4302,0.4432,0.7725
205,0.00622,0.4029,0.4258,0.7729
206,0.0062,0.4198,0.3798,0.8237
207,0.00618,0.4126,0.3831,0.8021
208,0.00616,0.4276,0.3974,0.8079
209,0.00614,0.4247,0.4539,0.7965
210,0.00612,0.3897,0.4367,0.7531
211,0.00611,0.3974,0.415,0.8185
212,0.00609,0.4011,0.4549,0.7573
213,0.00607,0.4085,0.4113,0.7684
214,0.00605,0.4093,0.3987,0.7725
215,0.00603,0.3903,0.405,0.7849
216,0.00601,0.4048,0.4558,0.7799
217,0.00599,0.4074,0.4358,0.7886
218,0.00597,0.41,0.4344,0.7558
219,0.00595,0.3988,0.4486,0.7149
220,0.00593,0.3976,0.4028,0.8069
221,0.00592,0.4096,0.4535,0.7641
222,0.0059,0.3993,0.4524,0.7516
223,0.00588,0.4158,0.4159,0.7856
224,0.00586,0.421,0.3467,0.8407
225,0.00584,0.3932,0.4269,0.7778
226,0.00582,0.4177,0.395,0.7889
227,0.0058,0.404,0.4562,0.7689
228,0.00578,0.4096,0.4588,0.7858
229,0.00576,0.4023,0.3929,0.7998
230,0.00574,0.4137,0.4405,0.7947
231,0.00572,0.4011,0.4166,0.7933
232,0.0057,0.4101,0.409,0.785
233,0.00569,0.4517,0.4045,0.8208
234,0.00567,0.4461,0.4942,0.7267
235,0.00565,0.4182,0.4329,0.8089
236,0.00563,0.4193,0.4059,0.7978
237,0.00561,0.3985,0.449,0.7481
