epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0505,-0.0346,0.1394
1,0.00998,-0.0584,-0.0556,0.2821
2,0.00996,-0.1131,-0.1334,0.4356
3,0.00995,-0.1657,-0.1716,0.4921
4,0.00993,-0.208,-0.2094,0.5479
5,0.00991,-0.2243,-0.2156,0.5254
6,0.00989,-0.2624,-0.2537,0.5672
7,0.00987,-0.2382,-0.2943,0.6278
8,0.00986,-0.2477,-0.261,0.5763
9,0.00984,-0.2711,-0.261,0.5866
10,0.00982,-0.2705,-0.2615,0.5593
11,0.0098,-0.3109,-0.3598,0.6596
12,0.00978,-0.3061,-0.4126,0.6954
13,0.00977,-0.3465,-0.3607,0.6395
14,0.00975,-0.3521,-0.3413,0.6728
15,0.00973,-0.3326,-0.3266,0.6502
16,0.00971,-0.3469,-0.386,0.6817
17,0.00969,-0.3609,-0.3229,0.579
18,0.00968,-0.3653,-0.3871,0.6844
19,0.00966,-0.3512,-0.3721,0.6562
20,0.00964,-0.3495,-0.3614,0.6605
21,0.00962,-0.3778,-0.3997,0.6826
22,0.0096,-0.3878,-0.3965,0.701
23,0.00959,-0.3857,-0.3956,0.6923
24,0.00957,-0.4037,-0.3678,0.7017
25,0.00955,-0.3664,-0.3887,0.6778
26,0.00953,-0.3906,-0.4382,0.7025
27,0.00951,-0.4029,-0.4507,0.7225
28,0.00949,-0.4132,-0.4697,0.7572
29,0.00948,-0.4144,-0.4492,0.754
30,0.00946,-0.3901,-0.3842,0.6762
31,0.00944,-0.3961,-0.4407,0.7098
32,0.00942,-0.4238,-0.4074,0.7131
33,0.0094,-0.4299,-0.4165,0.7259
34,0.00939,-0.402,-0.46,0.727
35,0.00937,-0.4202,-0.4735,0.7088
36,0.00935,-0.3889,-0.4307,0.7007
37,0.00933,-0.3953,-0.4705,0.7374
38,0.00931,-0.4182,-0.4793,0.7258
39,0.0093,-0.4168,-0.412,0.6711
40,0.00928,-0.4117,-0.4782,0.7586
41,0.00926,-0.4318,-0.4094,0.6867
42,0.00924,-0.4238,-0.444,0.7395
43,0.00922,-0.4316,-0.4071,0.7025
44,0.0092,-0.4365,-0.4479,0.7318
45,0.00919,-0.4512,-0.4759,0.7101
46,0.00917,-0.4359,-0.5019,0.7265
47,0.00915,-0.4692,-0.4949,0.7423
48,0.00913,-0.4589,-0.4302,0.7423
49,0.00911,-0.4613,-0.503,0.7423
50,0.0091,-0.451,-0.4336,0.6635
51,0.00908,-0.4254,-0.4466,0.7378
52,0.00906,-0.456,-0.4586,0.7205
53,0.00904,-0.4163,-0.4297,0.6628
54,0.00902,-0.4061,-0.4852,0.7125
55,0.009,-0.4258,-0.468,0.6983
56,0.00899,-0.4377,-0.4363,0.7046
57,0.00897,-0.4377,-0.4577,0.7048
58,0.00895,-0.4629,-0.4855,0.7545
59,0.00893,-0.4422,-0.4977,0.7298
60,0.00891,-0.4624,-0.4839,0.7458
61,0.00889,-0.4561,-0.429,0.7032
62,0.00888,-0.4471,-0.4345,0.6861
63,0.00886,-0.4503,-0.3909,0.6077
64,0.00884,-0.4463,-0.5298,0.747
65,0.00882,-0.461,-0.5015,0.7813
66,0.0088,-0.4465,-0.4836,0.7518
67,0.00879,-0.4487,-0.4905,0.6944
68,0.00877,-0.4567,-0.4465,0.7274
69,0.00875,-0.4586,-0.4958,0.7557
70,0.00873,-0.474,-0.4796,0.6983
71,0.00871,-0.4273,-0.4449,0.7444
72,0.00869,-0.4538,-0.4793,0.7336
73,0.00868,-0.4432,-0.4838,0.729
74,0.00866,-0.4567,-0.456,0.7425
75,0.00864,-0.4323,-0.5391,0.7299
76,0.00862,-0.4582,-0.5227,0.7539
77,0.0086,-0.4355,-0.5091,0.7596
78,0.00858,-0.4618,-0.503,0.7603
79,0.00857,-0.481,-0.502,0.784
80,0.00855,-0.4507,-0.5168,0.7539
81,0.00853,-0.4473,-0.4476,0.7175
82,0.00851,-0.4707,-0.4552,0.7307
83,0.00849,-0.4673,-0.5466,0.7538
84,0.00847,-0.4651,-0.4686,0.7391
85,0.00846,-0.48,-0.51,0.7686
86,0.00844,-0.4671,-0.4578,0.7135
87,0.00842,-0.4628,-0.471,0.7209
88,0.0084,-0.4923,-0.5055,0.731
89,0.00838,-0.4784,-0.4821,0.7422
90,0.00836,-0.4668,-0.5268,0.7388
91,0.00835,-0.4781,-0.4736,0.7403
92,0.00833,-0.4782,-0.5131,0.7616
93,0.00831,-0.4779,-0.4946,0.7531
94,0.00829,-0.4787,-0.518,0.795
95,0.00827,-0.4706,-0.4791,0.7542
96,0.00825,-0.4536,-0.4992,0.7349
97,0.00824,-0.4972,-0.5374,0.7777
98,0.00822,-0.4556,-0.4989,0.7749
99,0.0082,-0.4789,-0.5737,0.7672
100,0.00818,-0.4794,-0.4451,0.7325
101,0.00816,-0.5017,-0.5338,0.7572
102,0.00814,-0.4735,-0.5114,0.7537
103,0.00813,-0.4835,-0.4921,0.7326
104,0.00811,-0.4896,-0.5564,0.7761
105,0.00809,-0.4706,-0.4257,0.6912
106,0.00807,-0.4594,-0.4511,0.6602
107,0.00805,-0.4894,-0.4851,0.769
108,0.00803,-0.4647,-0.4736,0.7321
109,0.00801,-0.4599,-0.4761,0.7794
110,0.008,-0.4912,-0.5571,0.792
111,0.00798,-0.4746,-0.5497,0.7371
112,0.00796,-0.4864,-0.5202,0.7131
113,0.00794,-0.4354,-0.4961,0.7513
114,0.00792,-0.4767,-0.5512,0.7905
115,0.0079,-0.4736,-0.4921,0.7645
116,0.00789,-0.4707,-0.5148,0.7482
117,0.00787,-0.4729,-0.4422,0.6531
118,0.00785,-0.4637,-0.5182,0.7454
119,0.00783,-0.4653,-0.5442,0.7382
120,0.00781,-0.4787,-0.5474,0.752
121,0.00779,-0.5073,-0.5245,0.7626
122,0.00777,-0.4806,-0.5018,0.7697
123,0.00776,-0.4859,-0.4414,0.7394
124,0.00774,-0.5268,-0.5165,0.7711
125,0.00772,-0.4708,-0.5044,0.741
126,0.0077,-0.4646,-0.4725,0.7342
127,0.00768,-0.488,-0.5346,0.7583
128,0.00766,-0.466,-0.5368,0.7391
129,0.00764,-0.4419,-0.495,0.7047
130,0.00763,-0.4744,-0.5703,0.7531
131,0.00761,-0.4871,-0.5166,0.7712
132,0.00759,-0.4908,-0.5113,0.7364
133,0.00757,-0.482,-0.5045,0.7495
134,0.00755,-0.4866,-0.506,0.7465
