epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0559,0.0668,0.0
1,0.00998,0.0183,0.05,0.0
2,0.00996,0.0123,0.0216,0.0
3,0.00995,-0.0095,-0.0271,0.0
4,0.00993,-0.0438,-0.0064,0.0
5,0.00991,-0.1256,0.0895,0.0348
6,0.00989,-0.1523,-0.0782,0.1549
7,0.00987,-0.1859,-0.0237,0.0802
8,0.00986,-0.2321,-0.0126,0.0827
9,0.00984,-0.2095,-0.2173,0.1517
10,0.00982,-0.2615,-0.168,0.1389
11,0.0098,-0.2301,-0.1465,0.1212
12,0.00978,-0.2611,-0.1954,0.1956
13,0.00977,-0.2548,-0.2279,0.2791
14,0.00975,-0.2464,-0.1611,0.1591
15,0.00973,-0.2781,-0.1165,0.2185
16,0.00971,-0.2882,-0.12,0.0927
17,0.00969,-0.2909,-0.1436,0.1613
18,0.00968,-0.3426,-0.1667,0.1821
19,0.00966,-0.2995,-0.1212,0.1382
20,0.00964,-0.272,-0.1638,0.2524
21,0.00962,-0.3006,-0.1528,0.1426
22,0.0096,-0.3181,-0.2183,0.2937
23,0.00959,-0.3275,-0.2155,0.3084
24,0.00957,-0.3097,-0.1537,0.1355
25,0.00955,-0.3449,-0.2948,0.3473
26,0.00953,-0.3078,-0.2899,0.2827
27,0.00951,-0.3088,-0.3506,0.4828
28,0.00949,-0.3153,-0.3191,0.2719
29,0.00948,-0.3077,-0.2275,0.3268
30,0.00946,-0.338,-0.2506,0.3456
31,0.00944,-0.3411,-0.2668,0.2446
32,0.00942,-0.3401,-0.2344,0.3333
33,0.0094,-0.3295,-0.1716,0.1065
34,0.00939,-0.3488,-0.2339,0.2482
35,0.00937,-0.3391,-0.2629,0.2742
36,0.00935,-0.3515,-0.3105,0.4079
37,0.00933,-0.3557,-0.1836,0.172
38,0.00931,-0.3406,-0.2363,0.2846
39,0.0093,-0.3459,-0.449,0.505
40,0.00928,-0.342,-0.2528,0.3284
41,0.00926,-0.3406,-0.3115,0.4017
42,0.00924,-0.3786,-0.2843,0.4351
43,0.00922,-0.3582,-0.3524,0.5332
44,0.0092,-0.3511,-0.178,0.1342
45,0.00919,-0.3445,-0.2993,0.2699
46,0.00917,-0.3614,-0.2918,0.3797
47,0.00915,-0.379,-0.317,0.3176
48,0.00913,-0.3526,-0.3186,0.496
49,0.00911,-0.4005,-0.2829,0.4494
50,0.0091,-0.3522,-0.2956,0.5121
51,0.00908,-0.3603,-0.2506,0.324
52,0.00906,-0.3635,-0.3384,0.5625
53,0.00904,-0.3736,-0.2652,0.4934
54,0.00902,-0.4208,-0.2941,0.4589
55,0.009,-0.388,-0.3216,0.3743
56,0.00899,-0.3856,-0.2756,0.374
57,0.00897,-0.4118,-0.3422,0.5561
58,0.00895,-0.3861,-0.3867,0.6276
59,0.00893,-0.4006,-0.4394,0.5945
60,0.00891,-0.4129,-0.417,0.6551
61,0.00889,-0.3751,-0.394,0.5225
62,0.00888,-0.3785,-0.306,0.5196
63,0.00886,-0.3647,-0.2894,0.3573
64,0.00884,-0.4039,-0.3396,0.4404
65,0.00882,-0.3871,-0.3825,0.567
66,0.0088,-0.3766,-0.241,0.2652
67,0.00879,-0.3915,-0.3832,0.592
68,0.00877,-0.3956,-0.3583,0.5537
69,0.00875,-0.4298,-0.3751,0.5878
70,0.00873,-0.4213,-0.3566,0.5386
71,0.00871,-0.4029,-0.3613,0.6058
72,0.00869,-0.4251,-0.4396,0.6327
73,0.00868,-0.4277,-0.3396,0.5419
74,0.00866,-0.4123,-0.319,0.5098
75,0.00864,-0.4079,-0.3323,0.5089
76,0.00862,-0.4087,-0.3726,0.5794
77,0.0086,-0.4223,-0.4119,0.6214
78,0.00858,-0.3792,-0.3594,0.5661
79,0.00857,-0.4081,-0.3701,0.5757
80,0.00855,-0.4195,-0.4653,0.6962
81,0.00853,-0.4153,-0.4439,0.7047
82,0.00851,-0.3926,-0.3501,0.559
83,0.00849,-0.4551,-0.4108,0.6063
84,0.00847,-0.4522,-0.4017,0.6562
85,0.00846,-0.4072,-0.3862,0.5948
86,0.00844,-0.4102,-0.3025,0.5009
87,0.00842,-0.4007,-0.3398,0.5206
88,0.0084,-0.4267,-0.3741,0.5665
89,0.00838,-0.3652,-0.2783,0.2676
90,0.00836,-0.4085,-0.3766,0.547
91,0.00835,-0.4181,-0.4143,0.5393
92,0.00833,-0.437,-0.4086,0.6443
93,0.00831,-0.403,-0.354,0.5337
94,0.00829,-0.4451,-0.448,0.6785
95,0.00827,-0.4199,-0.427,0.6515
96,0.00825,-0.427,-0.3446,0.5059
97,0.00824,-0.3966,-0.4511,0.6741
