epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0824,0.0896,0.0
1,0.00998,0.0195,0.0301,0.0
2,0.00996,0.0154,0.016,0.0
3,0.00995,0.0025,-0.0286,0.0
4,0.00993,-0.0331,-0.0977,0.0205
5,0.00991,-0.1017,-0.0375,0.1373
6,0.00989,-0.1293,-0.212,0.425
7,0.00987,-0.1875,-0.224,0.4918
8,0.00986,-0.1912,-0.2376,0.5116
9,0.00984,-0.2041,-0.2065,0.4172
10,0.00982,-0.196,-0.2425,0.5154
11,0.0098,-0.2238,-0.1382,0.2713
12,0.00978,-0.2235,-0.2241,0.5078
13,0.00977,-0.2546,-0.2728,0.561
14,0.00975,-0.2475,-0.2929,0.5894
15,0.00973,-0.2468,-0.3778,0.6289
16,0.00971,-0.2923,-0.2763,0.5173
17,0.00969,-0.3004,-0.3289,0.6227
18,0.00968,-0.2967,-0.2255,0.3097
19,0.00966,-0.2824,-0.3446,0.5809
20,0.00964,-0.2666,-0.2699,0.4736
21,0.00962,-0.3085,-0.3376,0.5525
22,0.0096,-0.2955,-0.2827,0.623
23,0.00959,-0.3039,-0.2941,0.494
24,0.00957,-0.3086,-0.3815,0.6626
25,0.00955,-0.3199,-0.3257,0.5667
26,0.00953,-0.3278,-0.4163,0.6861
27,0.00951,-0.3263,-0.3602,0.6156
28,0.00949,-0.3469,-0.4029,0.6579
29,0.00948,-0.3543,-0.4026,0.6379
30,0.00946,-0.3821,-0.4112,0.6908
31,0.00944,-0.3714,-0.4118,0.643
32,0.00942,-0.3422,-0.4246,0.6866
33,0.0094,-0.3686,-0.3336,0.4969
34,0.00939,-0.3702,-0.3706,0.6471
35,0.00937,-0.3479,-0.2742,0.3122
36,0.00935,-0.3205,-0.4187,0.6524
37,0.00933,-0.3196,-0.2722,0.3901
38,0.00931,-0.3612,-0.4352,0.6598
39,0.0093,-0.3756,-0.4271,0.6702
40,0.00928,-0.3722,-0.321,0.6236
