epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,1.8647,1.7592,0.1464
1,0.00998,1.7247,1.7862,0.1305
2,0.00996,1.628,1.5884,0.3313
3,0.00995,1.5781,1.6394,0.3053
4,0.00993,1.5272,1.4776,0.4192
5,0.00991,1.4485,1.4703,0.4521
6,0.00989,1.445,1.4148,0.4013
7,0.00987,1.365,1.3047,0.551
8,0.00986,1.3023,1.3688,0.463
9,0.00984,1.3419,1.1186,0.609
10,0.00982,1.2612,1.1892,0.5986
11,0.0098,1.254,1.3008,0.5794
12,0.00978,1.2337,1.1469,0.5696
13,0.00977,1.3987,1.1736,0.5926
14,0.00975,1.2981,1.2323,0.6446
15,0.00973,1.1801,1.0597,0.6729
16,0.00971,1.1752,1.1047,0.6529
17,0.00969,1.1874,1.0864,0.6575
18,0.00968,1.1263,1.0763,0.7056
19,0.00966,1.1763,1.1922,0.6091
20,0.00964,1.1379,1.1218,0.6365
21,0.00962,1.2012,1.1461,0.6254
22,0.0096,1.1455,1.1953,0.5841
23,0.00959,1.2079,1.1877,0.6524
24,0.00957,1.0694,1.0398,0.6735
25,0.00955,1.1638,1.1104,0.6302
26,0.00953,1.0782,0.9897,0.6762
27,0.00951,1.0695,1.1199,0.6411
28,0.00949,0.9998,1.0103,0.6658
29,0.00948,1.0271,1.1438,0.6349
30,0.00946,1.043,1.0346,0.677
31,0.00944,1.0387,1.0565,0.7084
32,0.00942,1.026,1.002,0.6734
33,0.0094,1.1,0.9622,0.6959
34,0.00939,1.0025,1.0352,0.7216
35,0.00937,1.0164,0.9365,0.7124
36,0.00935,1.0649,1.1217,0.6566
37,0.00933,0.9084,1.1148,0.6797
38,0.00931,0.9688,1.0074,0.6761
39,0.0093,1.015,0.8611,0.7127
40,0.00928,0.9852,0.9108,0.7034
41,0.00926,0.9651,0.9432,0.7555
42,0.00924,1.016,0.8184,0.7134
43,0.00922,0.9545,0.9378,0.673
44,0.0092,0.9825,0.8887,0.7291
45,0.00919,0.899,0.9407,0.7087
46,0.00917,0.9465,0.9688,0.687
47,0.00915,0.8893,1.0307,0.6765
48,0.00913,0.9361,1.0376,0.6817
49,0.00911,0.9532,0.8327,0.7343
50,0.0091,0.9417,0.975,0.701
51,0.00908,0.9485,0.9073,0.6953
52,0.00906,0.9026,0.9414,0.694
53,0.00904,0.9463,0.8969,0.748
54,0.00902,0.9274,0.9932,0.6874
55,0.009,0.9105,0.749,0.7682
56,0.00899,0.8973,0.8372,0.7247
57,0.00897,0.8773,0.9779,0.6666
58,0.00895,0.9536,0.9244,0.7458
59,0.00893,0.9595,0.952,0.6482
60,0.00891,0.9058,0.881,0.7317
61,0.00889,0.8891,0.8456,0.7495
62,0.00888,0.9169,0.8048,0.756
63,0.00886,0.905,0.9033,0.7081
64,0.00884,0.8988,0.9518,0.7033
65,0.00882,0.8858,0.7938,0.7786
66,0.0088,0.8168,0.9354,0.764
67,0.00879,0.9259,0.8229,0.7279
68,0.00877,0.9455,0.848,0.7081
69,0.00875,0.8283,0.7703,0.7178
70,0.00873,0.9519,0.956,0.7307
71,0.00871,0.8857,0.8777,0.7266
72,0.00869,0.8432,0.9938,0.6932
73,0.00868,0.8932,0.8508,0.7343
74,0.00866,0.947,0.8791,0.7279
75,0.00864,0.9439,0.8303,0.7457
76,0.00862,0.8787,0.8956,0.7295
77,0.0086,0.8964,0.8186,0.7376
78,0.00858,0.8746,0.8908,0.7298
79,0.00857,0.8531,0.9038,0.7133
80,0.00855,0.8654,0.8776,0.7397
81,0.00853,0.887,0.8834,0.7061
82,0.00851,0.895,0.8052,0.7293
83,0.00849,0.911,0.9109,0.7237
84,0.00847,0.9188,0.8471,0.7505
85,0.00846,0.8621,0.7962,0.7583
86,0.00844,0.8877,0.8641,0.7366
87,0.00842,0.8834,0.6693,0.7529
88,0.0084,0.9165,0.8487,0.7684
89,0.00838,0.814,0.7958,0.73
90,0.00836,0.846,0.8891,0.7365
91,0.00835,0.8829,0.7501,0.7675
92,0.00833,0.7908,0.8747,0.7203
93,0.00831,0.8269,0.8541,0.7723
94,0.00829,0.8371,0.9931,0.6856
95,0.00827,0.8272,1.001,0.7288
96,0.00825,0.8427,0.9082,0.7555
97,0.00824,0.867,0.8002,0.7501
98,0.00822,0.8667,0.8763,0.7392
99,0.0082,0.8641,0.7952,0.7389
100,0.00818,0.752,0.7448,0.7604
101,0.00816,0.8581,0.7391,0.7741
102,0.00814,0.8029,0.9007,0.716
103,0.00813,0.81,0.6546,0.7762
104,0.00811,0.7986,0.9088,0.6674
