epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0592,0.0133,0.0
1,0.00998,-0.0206,-0.0695,0.2564
2,0.00996,-0.1196,-0.2158,0.4401
3,0.00995,-0.1622,-0.1619,0.4669
4,0.00993,-0.2024,-0.2233,0.5347
5,0.00991,-0.2091,-0.1627,0.4532
6,0.00989,-0.2241,-0.262,0.6305
7,0.00987,-0.2596,-0.315,0.6355
8,0.00986,-0.2652,-0.3259,0.6509
9,0.00984,-0.2903,-0.2948,0.6371
10,0.00982,-0.3202,-0.32,0.6129
11,0.0098,-0.3419,-0.2636,0.6113
12,0.00978,-0.3122,-0.3304,0.5908
13,0.00977,-0.3411,-0.4343,0.6708
14,0.00975,-0.382,-0.3815,0.6731
15,0.00973,-0.3591,-0.362,0.6564
16,0.00971,-0.3453,-0.3983,0.6793
17,0.00969,-0.3441,-0.3229,0.6411
18,0.00968,-0.346,-0.4403,0.695
19,0.00966,-0.3774,-0.431,0.6624
20,0.00964,-0.3993,-0.4247,0.7478
21,0.00962,-0.4152,-0.4147,0.6867
22,0.0096,-0.3824,-0.4311,0.7396
23,0.00959,-0.3762,-0.409,0.7106
24,0.00957,-0.385,-0.3983,0.7055
25,0.00955,-0.4146,-0.4136,0.7284
26,0.00953,-0.4024,-0.4563,0.6995
27,0.00951,-0.4179,-0.4174,0.6999
28,0.00949,-0.4339,-0.4107,0.6798
29,0.00948,-0.3989,-0.4669,0.7161
30,0.00946,-0.4065,-0.4504,0.7046
31,0.00944,-0.4026,-0.4588,0.7278
32,0.00942,-0.4139,-0.4234,0.7184
33,0.0094,-0.4176,-0.4299,0.6999
34,0.00939,-0.4209,-0.4532,0.7487
35,0.00937,-0.4199,-0.3958,0.6662
36,0.00935,-0.4302,-0.4323,0.7285
37,0.00933,-0.4342,-0.4742,0.7465
38,0.00931,-0.4287,-0.408,0.687
39,0.0093,-0.4516,-0.4683,0.7387
40,0.00928,-0.4494,-0.4644,0.7232
41,0.00926,-0.4276,-0.4213,0.708
42,0.00924,-0.4413,-0.4641,0.7416
43,0.00922,-0.4352,-0.4781,0.7454
44,0.0092,-0.4249,-0.4688,0.7342
45,0.00919,-0.4577,-0.4829,0.7452
46,0.00917,-0.4548,-0.4963,0.7524
47,0.00915,-0.4594,-0.4972,0.7529
48,0.00913,-0.492,-0.4615,0.6951
49,0.00911,-0.4713,-0.4881,0.7488
50,0.0091,-0.4554,-0.5062,0.7396
51,0.00908,-0.471,-0.5316,0.7484
52,0.00906,-0.4658,-0.4513,0.7249
53,0.00904,-0.4884,-0.5133,0.7554
54,0.00902,-0.4913,-0.5005,0.7261
55,0.009,-0.4847,-0.51,0.7513
56,0.00899,-0.4936,-0.4521,0.7202
57,0.00897,-0.4982,-0.5489,0.7876
58,0.00895,-0.5226,-0.527,0.76
59,0.00893,-0.4927,-0.5625,0.7725
60,0.00891,-0.4464,-0.5021,0.7599
61,0.00889,-0.4735,-0.5292,0.7696
62,0.00888,-0.4713,-0.4918,0.749
63,0.00886,-0.4833,-0.4948,0.7597
64,0.00884,-0.4526,-0.4313,0.7381
65,0.00882,-0.4816,-0.5059,0.7229
66,0.0088,-0.5032,-0.4852,0.7727
67,0.00879,-0.4735,-0.5362,0.7802
68,0.00877,-0.4923,-0.4898,0.7242
69,0.00875,-0.4774,-0.494,0.7481
70,0.00873,-0.4778,-0.4785,0.7276
71,0.00871,-0.4793,-0.5429,0.7984
72,0.00869,-0.5144,-0.5003,0.7257
73,0.00868,-0.4792,-0.4559,0.772
74,0.00866,-0.4928,-0.5334,0.7496
75,0.00864,-0.4826,-0.4563,0.7455
76,0.00862,-0.4672,-0.5112,0.7583
77,0.0086,-0.5175,-0.5045,0.7797
78,0.00858,-0.4679,-0.5073,0.7678
79,0.00857,-0.5109,-0.5666,0.8021
80,0.00855,-0.5299,-0.4521,0.7778
81,0.00853,-0.5095,-0.5078,0.7453
82,0.00851,-0.5072,-0.533,0.7794
83,0.00849,-0.4954,-0.52,0.7673
84,0.00847,-0.4964,-0.5645,0.7821
85,0.00846,-0.5154,-0.5188,0.7433
86,0.00844,-0.5088,-0.5271,0.7456
87,0.00842,-0.5243,-0.5235,0.7667
88,0.0084,-0.5187,-0.5442,0.7714
