epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0936,0.0423,0.0
1,0.00998,-0.0022,-0.0757,0.3048
2,0.00996,-0.1396,-0.0918,0.2633
3,0.00995,-0.1555,-0.2242,0.5283
4,0.00993,-0.226,-0.2563,0.5449
5,0.00991,-0.2309,-0.2471,0.5937
6,0.00989,-0.2884,-0.3359,0.6435
7,0.00987,-0.2984,-0.3057,0.5738
8,0.00986,-0.3081,-0.3499,0.6595
9,0.00984,-0.3403,-0.3853,0.7118
10,0.00982,-0.3925,-0.4162,0.7103
11,0.0098,-0.384,-0.3901,0.6421
12,0.00978,-0.4062,-0.4245,0.6722
13,0.00977,-0.3668,-0.4293,0.6982
14,0.00975,-0.376,-0.3984,0.6926
15,0.00973,-0.4058,-0.3739,0.6511
16,0.00971,-0.4264,-0.4453,0.7067
17,0.00969,-0.3954,-0.4065,0.6107
18,0.00968,-0.4157,-0.4181,0.7197
19,0.00966,-0.4121,-0.3906,0.6763
20,0.00964,-0.4417,-0.4191,0.7088
21,0.00962,-0.4255,-0.4568,0.7247
22,0.0096,-0.4187,-0.4274,0.7061
23,0.00959,-0.4271,-0.4108,0.7056
24,0.00957,-0.4493,-0.506,0.7695
25,0.00955,-0.4383,-0.4921,0.7567
26,0.00953,-0.4512,-0.4919,0.7535
27,0.00951,-0.4589,-0.4843,0.7397
28,0.00949,-0.4824,-0.4791,0.7308
29,0.00948,-0.4495,-0.505,0.7708
30,0.00946,-0.4689,-0.5356,0.7448
31,0.00944,-0.4787,-0.4684,0.6924
32,0.00942,-0.4953,-0.508,0.7377
33,0.0094,-0.4846,-0.5181,0.768
34,0.00939,-0.4992,-0.5159,0.7442
35,0.00937,-0.4661,-0.4892,0.7593
36,0.00935,-0.4925,-0.4676,0.7386
37,0.00933,-0.4683,-0.5505,0.7601
38,0.00931,-0.4792,-0.5041,0.7319
39,0.0093,-0.5305,-0.52,0.7339
40,0.00928,-0.4979,-0.4838,0.7377
41,0.00926,-0.5017,-0.5192,0.7612
42,0.00924,-0.5034,-0.5426,0.724
43,0.00922,-0.487,-0.4893,0.7555
44,0.0092,-0.5079,-0.518,0.7612
45,0.00919,-0.507,-0.5048,0.7777
46,0.00917,-0.505,-0.4724,0.7404
47,0.00915,-0.4958,-0.504,0.7615
48,0.00913,-0.4979,-0.4893,0.7869
49,0.00911,-0.4802,-0.4629,0.7022
50,0.0091,-0.4803,-0.5702,0.7808
51,0.00908,-0.5007,-0.5344,0.7479
52,0.00906,-0.5208,-0.5085,0.7666
53,0.00904,-0.5253,-0.5156,0.7633
54,0.00902,-0.5255,-0.519,0.7432
55,0.009,-0.5101,-0.5388,0.7618
56,0.00899,-0.5302,-0.498,0.7591
57,0.00897,-0.5306,-0.5333,0.7427
58,0.00895,-0.5402,-0.5316,0.7778
59,0.00893,-0.5163,-0.4796,0.7536
60,0.00891,-0.552,-0.482,0.7238
61,0.00889,-0.5276,-0.502,0.7541
