case_metadata_csv,ensemble_members,gt_dir,is_ensemble,run_id,split,trainer,checkpoint_final,checkpoint_final_mtime,configuration,dataset,experiment_name,fold,git_commit,n_folds_in_split,num_epochs,pred_dir,recorded_at,sampling_weight_hash,save_every,plans
workspace/splits_dataset002/manifest.csv,"['nnUNetTrainerBaseline_500epochs', 'nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans)', 'nnUNetTrainerFocalTversky_500epochs', 'nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full']",/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,True,ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum,test,ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum,,,,,,,,,,,,,,
workspace/splits_dataset002/manifest.csv,"['nnUNetTrainerWideAugBaseline_500epochs', 'nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans)', 'nnUNetTrainerFocalTversky_500epochs', 'nnUNetTrainerLesionAwareSamplingPow_500epochs_full']",/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,True,ensemble_WideAugBaseline+Baseline (ResEncM)+FocalTversky+LesionAwareSamplingPow,test,ensemble_WideAugBaseline+Baseline (ResEncM)+FocalTversky+LesionAwareSamplingPow,,,,,,,,,,,,,,
workspace/splits_dataset002/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTr,,nnUNetTrainerBaseline_1000epochs__3d_fullres__fold0__fp5a5c3f3760,val,nnUNetTrainerBaseline_1000epochs,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_1000epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-21T01:36:50,3d_fullres,Dataset002_ATLAS,nnUNetTrainerBaseline_1000epochs,0,8c7209aa45abf99a8ec021d42de53c6f4ca7c119,1,1000,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_1000epochs__nnUNetPlans__3d_fullres/fold_0/validation,2026-08-21T01:43:23,,10,
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerBaseline_500epochs__3d_fullres__fold0__fp149e0ab945,test,nnUNetTrainerBaseline_500epochs,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-18T06:04:44,3d_fullres,Dataset002_ATLAS,nnUNetTrainerBaseline_500epochs,0,1e69706e4bc026a2b32ab29da3950235ffe80a23,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_500epochs__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T14:35:31,,10,
/home/galia/ISLES2026/isles26_project/workspace/splits_dataset002/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans__3d_fullres__fold0__fpfd2f5a700c,test,nnUNetTrainerBaseline_500epochs,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-20T04:04:45,3d_fullres,Dataset002_ATLAS,nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,0,447c3fc75b312d2e156e69e8294c29ccc074ecdd,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans__3d_fullres/fold_0/predTs,2026-08-20T19:07:42,,10,nnUNetResEncUNetMPlans
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerFocalTversky_500epochs__3d_fullres__fold0__fp320e540428,test,nnUNetTrainerFocalTversky_500epochs,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerFocalTversky_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-18T10:48:54,3d_fullres,Dataset002_ATLAS,nnUNetTrainerFocalTversky_500epochs,0,1e69706e4bc026a2b32ab29da3950235ffe80a23,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerFocalTversky_500epochs__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T14:48:01,,10,
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full__3d_fullres__fold0__fp31ae961670,test,nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-19T21:52:30,3d_fullres,Dataset002_ATLAS,nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,0,0341caab0e6fb85303f446488861c9664a0c6085,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T22:27:40,ab4a1e1677,10,
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerLesionAwareSamplingPow_500epochs_full__3d_fullres__fold0__fpfda38a2498,test,nnUNetTrainerLesionAwareSamplingPow_500epochs_full,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSamplingPow_500epochs_full__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-19T07:06:37,3d_fullres,Dataset002_ATLAS,nnUNetTrainerLesionAwareSamplingPow_500epochs_full,0,1e69706e4bc026a2b32ab29da3950235ffe80a23,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSamplingPow_500epochs_full__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T15:12:51,9d46d6f035,10,
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerLesionAwareSampling_500epochs_full__3d_fullres__fold0__fp09587d610a,test,nnUNetTrainerLesionAwareSampling_500epochs_full,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSampling_500epochs_full__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-18T20:26:49,3d_fullres,Dataset002_ATLAS,nnUNetTrainerLesionAwareSampling_500epochs_full,0,1e69706e4bc026a2b32ab29da3950235ffe80a23,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerLesionAwareSampling_500epochs_full__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T15:00:20,ab4a1e1677,10,
workspace/splits_full/manifest.csv,,/home/galia/ISLES2026/nnUNet_raw/Dataset002_ATLAS/labelsTs,,nnUNetTrainerTverskyMild_500epochs__3d_fullres__fold0__fp8959622c8f,test,nnUNetTrainerTverskyMild_500epochs,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerTverskyMild_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,2026-08-18T15:44:41,3d_fullres,Dataset002_ATLAS,nnUNetTrainerTverskyMild_500epochs,0,1e69706e4bc026a2b32ab29da3950235ffe80a23,1,500,/home/galia/ISLES2026/nnUNet_results/Dataset002_ATLAS/nnUNetTrainerTverskyMild_500epochs__nnUNetPlans__3d_fullres/fold_0/predTs,2026-08-19T15:25:33,,10,
