,dice,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,lesion_f1,avd_mm3,avd_mm3,avd_mm3,avd_mm3,lesion_count_diff,lesion_count_diff,lesion_count_diff,lesion_count_diff
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
experiment,,,,,,,,,,,,,,,,,,,,
nnUNetTrainerBaseline_500epochs,0.6515,0.2654,0.7476,368,18.5057,22.5476,6.8912,364,0.6354,0.2852,0.6667,368,5257.7241,8608.6192,1589.5,368,2.0272,3.2789,1.0,368
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,0.6515,0.2741,0.7588,368,18.0619,23.1478,6.0,363,0.6596,0.2962,0.6667,368,4851.3699,8525.3933,1428.2666,368,1.8804,3.1678,1.0,368
nnUNetTrainerFocalTversky_500epochs,0.6352,0.2626,0.7207,368,19.1467,21.9344,7.6158,366,0.6324,0.2763,0.6667,368,6715.9698,11007.6937,2117.247,368,2.1793,3.1251,1.0,368
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,0.6173,0.2728,0.7046,119,22.1003,26.0709,8.124,117,0.6169,0.2869,0.6667,119,6564.6431,13341.4087,1642.0,119,2.1597,3.7978,1.0,119
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,0.6353,0.2717,0.7374,368,18.9072,22.6641,7.3228,366,0.6188,0.2917,0.6667,368,6002.8274,10679.8288,1435.4011,368,1.9511,3.1272,1.0,368
nnUNetTrainerLesionAwareSampling_500epochs_full,0.6424,0.2702,0.7418,368,18.9174,23.0993,7.0355,362,0.6439,0.3003,0.6667,368,5598.7611,9578.7925,1590.385,368,1.8533,3.1416,1.0,368
nnUNetTrainerTverskyMild_500epochs,0.6431,0.2692,0.7457,368,18.6076,22.2622,7.2732,363,0.6409,0.2882,0.6667,368,5561.8346,9102.3176,1662.8432,368,2.0842,3.2391,1.0,368
nnUNetTrainerWideAugBaseline_500epochs,0.6551,0.2667,0.764,368,17.0772,21.0883,6.7082,362,0.6615,0.2854,0.6667,368,5098.7772,8612.9453,1546.5,368,1.9321,3.1646,1.0,368
nnUNetTrainerWideAugBaseline_500epochs__nnUNetResEncUNetMPlans,0.6552,0.2688,0.7616,368,18.0305,22.0248,6.3637,364,0.6551,0.2876,0.6667,368,5129.5048,9366.9713,1457.0059,368,2.0217,3.1328,1.0,368
