,,dice,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,lesion_f1,avd_mm3,avd_mm3,avd_mm3,avd_mm3,lesion_count_diff,lesion_count_diff,lesion_count_diff,lesion_count_diff
,,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
experiment,size_bin,,,,,,,,,,,,,,,,,,,,
ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum,large,0.8252,0.1124,0.8683,78,7.1534,7.6742,4.2426,78,0.6958,0.2507,0.6667,78,14519.5472,13641.1307,9228.5,78,2.2564,3.3708,1.0,78
ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum,medium,0.6325,0.2614,0.7417,84,16.8347,20.6076,6.7823,83,0.6523,0.2726,0.6667,84,3567.369,6155.7033,1892.7558,84,2.25,3.4983,1.0,84
ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum,small,0.5238,0.2968,0.5879,87,24.5907,24.8023,13.0978,84,0.6469,0.3256,0.6667,87,589.8758,889.3632,316.6199,87,1.2069,1.3737,1.0,87
ensemble_WideAugBaseline+Baseline (ResEncM)+FocalTversky+LesionAwareSamplingPow,large,0.8306,0.1127,0.8708,78,6.7553,7.3164,4.1829,78,0.6976,0.2534,0.6667,78,13806.3712,12791.7816,9343.9906,78,2.1282,3.0679,1.0,78
ensemble_WideAugBaseline+Baseline (ResEncM)+FocalTversky+LesionAwareSamplingPow,medium,0.6338,0.2616,0.736,84,18.3777,23.4387,6.8541,84,0.6729,0.2843,0.6667,84,3322.5042,5801.7383,1695.994,84,2.1548,3.7529,1.0,84
ensemble_WideAugBaseline+Baseline (ResEncM)+FocalTversky+LesionAwareSamplingPow,small,0.528,0.2958,0.586,87,24.0274,24.0705,13.2761,84,0.6392,0.3224,0.6667,87,548.1293,809.5723,313.0,87,1.2529,1.4404,1.0,87
nnUNetTrainerBaseline_1000epochs,empty,1.0,,1.0,1,,,,0,1.0,,1.0,1,0.0,,0.0,1,0.0,,0.0,1
nnUNetTrainerBaseline_1000epochs,large,0.7993,0.1554,0.876,37,13.833,21.2825,5.0486,37,0.6371,0.2402,0.5714,37,9617.4174,8672.4951,7505.0,37,2.8378,6.0988,1.0,37
nnUNetTrainerBaseline_1000epochs,medium,0.6013,0.2662,0.6175,40,22.2303,24.2759,15.7815,40,0.6545,0.2399,0.6667,40,2883.4033,3081.6878,1938.5,40,1.875,2.1023,1.0,40
nnUNetTrainerBaseline_1000epochs,small,0.5817,0.2697,0.6939,41,22.8362,24.6097,13.1271,40,0.7076,0.2729,0.6667,41,571.8702,1107.2291,196.0,41,1.2195,1.275,1.0,41
nnUNetTrainerBaseline_500epochs,empty,0.0,,0.0,1,,,,0,0.0,,0.0,1,36.0,,36.0,1,2.0,,2.0,1
nnUNetTrainerBaseline_500epochs,large,0.8205,0.1149,0.8687,115,8.5624,11.5987,4.6822,115,0.6353,0.2669,0.6667,115,12538.3847,11123.5716,9793.9072,115,2.6522,4.4407,1.0,115
nnUNetTrainerBaseline_500epochs,medium,0.623,0.2607,0.7131,124,19.2785,22.835,7.8406,124,0.643,0.2709,0.6667,124,3331.1923,5403.5405,1815.9328,124,2.1371,3.2965,1.0,124
nnUNetTrainerBaseline_500epochs,small,0.5322,0.2854,0.6079,128,26.8869,26.1586,17.3493,125,0.6329,0.3112,0.6667,128,623.6281,1151.9032,261.4488,128,1.3594,1.4238,1.0,128
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,empty,0.0,,0.0,1,,,,0,0.0,,0.0,1,3.0,,3.0,1,1.0,,1.0,1
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,large,0.8252,0.1218,0.8772,115,8.2988,11.8178,4.3589,115,0.6766,0.2704,0.6667,115,11504.7817,11855.0191,7977.0,115,2.4,4.3323,1.0,115
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,medium,0.6054,0.276,0.7122,124,21.3296,26.1713,9.7521,124,0.6537,0.287,0.6667,124,3226.9881,4704.1694,1781.5,124,2.0887,3.1443,1.0,124
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,small,0.5452,0.2931,0.6468,128,23.8485,25.0789,13.0188,124,0.6552,0.323,0.6667,128,485.1929,622.1855,266.5,128,1.2188,1.357,1.0,128
nnUNetTrainerFocalTversky_500epochs,empty,1.0,,1.0,1,,,,0,1.0,,1.0,1,0.0,,0.0,1,0.0,,0.0,1
nnUNetTrainerFocalTversky_500epochs,large,0.8133,0.1217,0.851,115,9.1445,11.5272,5.0,115,0.6785,0.2404,0.6667,115,15368.2988,14341.6362,11475.6634,115,2.2435,4.0449,1.0,115
nnUNetTrainerFocalTversky_500epochs,medium,0.6211,0.2432,0.698,124,17.8381,21.1149,7.8421,124,0.6338,0.2589,0.6667,124,4637.1719,7646.8945,2586.1576,124,2.4113,3.0417,1.5,124
nnUNetTrainerFocalTversky_500epochs,small,0.4861,0.2763,0.5724,128,29.4815,25.251,27.8844,127,0.5869,0.3143,0.6458,128,1008.6969,1922.4928,439.4991,128,1.9141,2.1,1.0,128
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,empty,1.0,,1.0,1,,,,0,1.0,,1.0,1,0.0,,0.0,1,0.0,,0.0,1
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,large,0.7103,0.2287,0.7726,37,21.1351,29.0271,7.874,37,0.47,0.2232,0.5,37,17233.1121,19950.9353,11442.0,37,3.9189,5.8849,2.0,37
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,medium,0.5761,0.2647,0.6273,40,23.1641,25.4427,11.3293,40,0.6525,0.256,0.6667,40,3083.0056,3208.8951,2032.0,40,1.75,2.3832,1.0,40
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,small,0.5643,0.2964,0.6987,41,21.9292,24.3819,13.5657,40,0.7053,0.3181,0.8,41,493.833,741.0776,197.0,41,1.0244,1.1723,1.0,41
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,empty,0.0,,0.0,1,,,,0,0.0,,0.0,1,4.0,,4.0,1,1.0,,1.0,1
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,large,0.7834,0.1603,0.8402,115,11.1464,16.041,5.3852,115,0.5534,0.2481,0.5,115,15373.2527,14508.0331,10555.0,115,2.887,4.1226,2.0,115
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,medium,0.605,0.2688,0.6861,124,20.8109,23.8683,8.6457,124,0.6532,0.2897,0.6667,124,3089.6701,4667.8919,1768.948,124,1.9516,3.1901,1.0,124
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,small,0.5365,0.2941,0.6265,128,24.0759,24.7705,13.7149,127,0.649,0.3168,0.6667,128,453.0729,665.0972,231.9375,128,1.1172,1.2836,1.0,128
nnUNetTrainerLesionAwareSampling_500epochs_full,empty,0.0,,0.0,1,,,,0,0.0,,0.0,1,16.0,,16.0,1,2.0,,2.0,1
nnUNetTrainerLesionAwareSampling_500epochs_full,large,0.8037,0.1322,0.852,115,10.6511,15.4954,5.1339,115,0.6284,0.2634,0.6667,115,13910.414,13008.0602,9755.0,115,2.4609,4.2782,1.0,115
nnUNetTrainerLesionAwareSampling_500epochs_full,medium,0.619,0.261,0.7057,124,19.871,23.4471,8.2143,123,0.6652,0.2854,0.6667,124,3160.354,4319.3352,1800.3926,124,1.9839,3.139,1.0,124
nnUNetTrainerLesionAwareSampling_500epochs_full,small,0.5252,0.2969,0.5876,128,25.6379,26.2271,15.0409,124,0.6423,0.3398,0.6667,128,537.0827,870.721,252.4604,128,1.1797,1.3188,1.0,128
nnUNetTrainerTverskyMild_500epochs,empty,1.0,,1.0,1,,,,0,1.0,,1.0,1,0.0,,0.0,1,0.0,,0.0,1
nnUNetTrainerTverskyMild_500epochs,large,0.8151,0.1236,0.8651,115,9.8453,14.1522,5.0646,115,0.6727,0.2574,0.6667,115,13245.0277,11703.9279,9277.9818,115,2.4,4.2402,1.0,115
nnUNetTrainerTverskyMild_500epochs,medium,0.6336,0.2522,0.7231,124,18.1742,22.0637,7.3848,124,0.6342,0.2744,0.6667,124,3359.2918,5841.6245,1860.6055,124,2.2339,3.1703,1.0,124
nnUNetTrainerTverskyMild_500epochs,small,0.4951,0.29,0.5682,128,27.1674,25.3049,20.768,124,0.616,0.3241,0.6667,128,836.1309,1572.0457,362.5383,128,1.6719,2.0317,1.0,128
nnUNetTrainerWideAugBaseline_500epochs,empty,0.0,,0.0,1,,,,0,0.0,,0.0,1,5.0,,5.0,1,1.0,,1.0,1
nnUNetTrainerWideAugBaseline_500epochs,large,0.8183,0.1274,0.8682,115,8.9136,11.9862,4.4922,115,0.6733,0.2585,0.6667,115,12221.6848,11528.9689,9687.0,115,2.313,4.1239,1.0,115
nnUNetTrainerWideAugBaseline_500epochs,medium,0.6257,0.2612,0.7071,124,18.4497,22.1371,7.9444,123,0.6586,0.2717,0.6667,124,3150.1652,4958.3368,1800.0,124,2.1371,3.3039,1.0,124
nnUNetTrainerWideAugBaseline_500epochs,small,0.5422,0.2892,0.6372,128,23.287,24.144,12.3598,124,0.6587,0.3168,0.6667,128,626.8028,1113.1234,286.9857,128,1.3984,1.6234,1.0,128
