,,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,avd_mm3,avd_mm3,avd_mm3,lesion_count_diff,lesion_count_diff,lesion_count_diff,n_sites
,,site_mean,site_std,site_median,site_mean,site_std,site_median,site_mean,site_std,site_median,site_mean,site_std,site_median,site_mean,site_std,site_median,
experiment,split,,,,,,,,,,,,,,,,
nnUNetTrainerBaseline_500epochs,test_id,0.6481,0.1788,0.6792,19.8105,17.105,15.3373,0.6065,0.1812,0.6005,5722.1289,5301.1744,5061.114,2.4629,2.4554,2.0,37
nnUNetTrainerBaseline_500epochs,test_ood,0.5924,0.2576,0.7153,18.5186,12.9438,13.1235,0.5946,0.2282,0.6838,4410.8614,2584.064,4085.9142,1.7965,1.0903,1.5422,6
nnUNetTrainerBaseline_500epochs,val,0.6779,0.1868,0.7406,17.9339,18.0148,11.3028,0.6611,0.2035,0.6431,4156.6763,6000.9141,1769.6372,2.0835,2.3863,1.5625,36
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,test_id,0.6389,0.1962,0.6438,21.62,19.6987,16.0288,0.6219,0.1967,0.6448,5565.7654,5399.3762,3743.4286,2.2026,2.3028,1.3333,37
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,test_ood,0.58,0.2684,0.6987,17.484,11.0498,14.0427,0.6119,0.2525,0.7049,4467.7057,2016.0289,4860.9671,1.5437,0.9706,1.4392,6
nnUNetTrainerBaseline_500epochs__nnUNetResEncUNetMPlans,val,0.6948,0.1832,0.7598,15.2924,15.8361,9.6797,0.6916,0.2206,0.693,3208.117,4761.4974,1563.8218,2.0917,2.5374,1.25,36
nnUNetTrainerFocalTversky_500epochs,test_id,0.6435,0.1699,0.6301,19.0718,16.9011,13.3231,0.6151,0.1858,0.617,7730.4048,7719.1971,5479.1784,2.6637,2.4557,2.0,37
nnUNetTrainerFocalTversky_500epochs,test_ood,0.5743,0.2434,0.6711,20.0613,14.3132,16.4949,0.5887,0.2115,0.6486,5077.8963,4105.1412,4385.9298,2.0449,1.3263,1.6409,6
nnUNetTrainerFocalTversky_500epochs,val,0.6803,0.1591,0.6842,17.0477,14.3982,13.4751,0.6722,0.1838,0.6579,5360.481,8174.7739,2127.75,1.9878,2.2127,1.3095,36
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,val,0.6704,0.1766,0.7009,16.0283,16.0197,10.4389,0.6705,0.2299,0.6603,4884.0606,7733.2443,1957.0431,1.9855,2.5512,1.0,36
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,test_id,0.6384,0.1703,0.6615,19.7434,17.0646,14.0713,0.5995,0.1712,0.6417,5783.0245,5674.1522,3767.75,2.1468,2.3043,1.6667,37
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,test_ood,0.5806,0.2733,0.697,18.4609,11.8826,12.8954,0.5693,0.241,0.6482,4759.5614,3199.217,4426.3871,1.4883,0.4891,1.5703,6
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,val,0.6582,0.1886,0.7142,15.9095,14.9295,10.5594,0.6613,0.218,0.6462,4970.1936,7440.4013,1794.6603,1.9363,2.3209,1.2381,36
nnUNetTrainerLesionAwareSampling_500epochs_full,test_id,0.6453,0.1744,0.6677,17.844,14.5512,14.107,0.6143,0.1928,0.6415,5245.4831,4625.2957,4106.9826,2.0875,2.3188,1.25,37
nnUNetTrainerLesionAwareSampling_500epochs_full,test_ood,0.5874,0.2438,0.6952,17.2548,8.1613,14.3127,0.6081,0.2083,0.6885,4887.5381,3515.4635,3648.1115,1.779,1.2618,1.3398,6
nnUNetTrainerLesionAwareSampling_500epochs_full,val,0.6649,0.1863,0.715,18.2444,18.372,10.6886,0.6632,0.2029,0.6627,4423.8006,6400.1302,1813.6843,1.8883,2.4119,1.125,36
nnUNetTrainerTverskyMild_500epochs,test_id,0.6396,0.1936,0.6591,16.9621,13.7426,13.3429,0.6031,0.1874,0.6351,6028.9801,5789.4268,4839.25,2.555,2.3983,2.0,37
nnUNetTrainerTverskyMild_500epochs,test_ood,0.5869,0.2517,0.6735,20.0734,14.9777,16.1653,0.5976,0.2048,0.6531,4128.7247,2003.6159,3876.783,2.0235,1.1479,1.7066,6
nnUNetTrainerTverskyMild_500epochs,val,0.6704,0.198,0.7069,16.5915,16.9183,11.6427,0.677,0.2015,0.6667,4355.4866,6647.0939,1688.6875,1.8679,2.3633,1.3333,36
nnUNetTrainerWideAugBaseline_500epochs,test_id,0.6618,0.1649,0.6758,16.9768,14.5914,13.4517,0.6416,0.192,0.6429,5603.9179,5189.1996,4623.625,2.3458,2.4604,1.5,37
nnUNetTrainerWideAugBaseline_500epochs,test_ood,0.6121,0.2501,0.7153,17.7876,12.6645,12.82,0.6151,0.2281,0.6808,3694.6543,1855.1883,3841.2,1.4713,0.6361,1.2679,6
nnUNetTrainerWideAugBaseline_500epochs,val,0.6841,0.1863,0.7495,13.9403,14.0707,10.4714,0.6922,0.2104,0.6667,4043.6878,5444.5841,1842.8009,2.0063,2.4182,1.2679,36
nnUNetTrainerWideAugBaseline_500epochs__nnUNetResEncUNetMPlans,test_id,0.6704,0.1492,0.6662,18.7765,16.3657,14.6131,0.6344,0.1952,0.6448,5564.3658,5102.8674,5056.0,2.3665,2.3275,1.9,37
nnUNetTrainerWideAugBaseline_500epochs__nnUNetResEncUNetMPlans,test_ood,0.5672,0.2662,0.701,18.61,14.2178,13.6219,0.6029,0.2244,0.6796,5624.4609,4405.9613,4703.5822,1.8237,1.1531,1.3986,6
nnUNetTrainerWideAugBaseline_500epochs__nnUNetResEncUNetMPlans,val,0.6958,0.1878,0.7538,15.3421,16.2295,8.4557,0.7035,0.2231,0.6667,3402.5167,4806.1704,1832.4367,2.0344,2.424,1.4167,36
