fold,subset,size_bin,n,frac_of_subset
0,val,small,139,0.34405940594059403
0,val,medium,138,0.3415841584158416
0,val,large,126,0.3118811881188119
0,val,empty,1,0.0024752475247524753
0,train,small,281,0.34777227722772275
0,train,medium,274,0.33910891089108913
0,train,large,252,0.3118811881188119
0,train,empty,1,0.0012376237623762376
0,diagnostic,n_unique_sites_val,48,
0,diagnostic,n_sites_only_in_val,0,
1,val,small,140,0.3465346534653465
1,val,medium,137,0.33910891089108913
1,val,large,126,0.3118811881188119
1,val,empty,1,0.0024752475247524753
1,train,small,280,0.3465346534653465
1,train,medium,275,0.34034653465346537
1,train,large,252,0.3118811881188119
1,train,empty,1,0.0012376237623762376
1,diagnostic,n_unique_sites_val,46,
1,diagnostic,n_sites_only_in_val,0,
2,val,small,141,0.349009900990099
2,val,medium,137,0.33910891089108913
2,val,large,126,0.3118811881188119
2,train,small,279,0.34529702970297027
2,train,medium,275,0.34034653465346537
2,train,large,252,0.3118811881188119
2,train,empty,2,0.0024752475247524753
2,diagnostic,n_unique_sites_val,49,
2,diagnostic,n_sites_only_in_val,2,
