experiment,dice_mean,dice_std,n,lesion_f1_mean,lesion_f1_std
baseline_test,0.6449,0.2732,258,0.6534,0.2998
baseline_val,0.6315,0.2678,128,0.6481,0.2728
dice_test,0.6198,0.2833,258,0.6137,0.303
dice_val,0.6028,0.2836,128,0.6233,0.2974
focal-tversky_test,0.6082,0.2792,258,0.5672,0.2864
focal-tversky_val,0.6059,0.2754,128,0.6144,0.283
focal_test,0.4674,0.3414,258,0.5388,0.3768
focal_val,0.4287,0.3484,128,0.4839,0.3471
sampling_test,0.6346,0.2892,258,0.6229,0.3091
sampling_val,0.6057,0.2811,128,0.6002,0.2961
tversky_test,0.6041,0.2755,258,0.5871,0.2961
tversky_val,0.6026,0.2768,128,0.6374,0.2907
