experiment,size_bin,dice_mean,dice_std,n,lesion_f1_mean,lesion_f1_std
baseline_test,large,0.8184,0.1086,86,0.6847,0.2537
baseline_test,medium,0.6526,0.2414,86,0.6809,0.2837
baseline_test,small,0.4636,0.3031,86,0.5947,0.3488
baseline_val,large,0.8192,0.1063,42,0.752,0.2463
baseline_val,medium,0.5855,0.2535,43,0.5494,0.24
baseline_val,small,0.494,0.2912,43,0.6453,0.2957
dice_test,large,0.8068,0.1339,86,0.7103,0.2511
dice_test,medium,0.64,0.2459,86,0.6014,0.2722
dice_test,small,0.4126,0.2917,86,0.5293,0.3517
dice_val,large,0.8086,0.1155,42,0.7356,0.2312
dice_val,medium,0.5619,0.2685,43,0.5461,0.2662
dice_val,small,0.4427,0.2964,43,0.5909,0.3531
focal-tversky_test,large,0.8094,0.1124,86,0.6383,0.2408
focal-tversky_test,medium,0.6237,0.2449,86,0.5767,0.266
focal-tversky_test,small,0.3914,0.2725,86,0.4867,0.3279
focal-tversky_val,large,0.8101,0.1103,42,0.7479,0.2316
focal-tversky_val,medium,0.5663,0.2591,43,0.5315,0.2444
focal-tversky_val,small,0.4462,0.2845,43,0.567,0.3208
focal_test,large,0.7239,0.2171,86,0.6605,0.2849
focal_test,medium,0.4834,0.3024,86,0.6056,0.329
focal_test,small,0.1949,0.2681,86,0.3502,0.4294
focal_val,large,0.7546,0.1482,42,0.6476,0.237
focal_val,medium,0.3521,0.298,43,0.4824,0.2924
focal_val,small,0.1872,0.2914,43,0.3256,0.4142
sampling_test,large,0.7909,0.1608,86,0.6071,0.2596
sampling_test,medium,0.6347,0.2694,86,0.6624,0.3049
sampling_test,small,0.4783,0.3239,86,0.5992,0.355
sampling_val,large,0.7979,0.118,42,0.615,0.2555
sampling_val,medium,0.5234,0.284,43,0.5557,0.289
sampling_val,small,0.5004,0.2991,43,0.6303,0.3386
tversky_test,large,0.8082,0.1162,86,0.6423,0.2373
tversky_test,medium,0.6174,0.2429,86,0.6234,0.2997
tversky_test,small,0.3868,0.2586,86,0.4958,0.3259
tversky_val,large,0.8127,0.1002,42,0.7906,0.2154
tversky_val,medium,0.567,0.2634,43,0.5512,0.2568
tversky_val,small,0.433,0.2787,43,0.574,0.3303
