,,dice,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,lesion_f1
,,mean,std,median,count,mean,std,median,count,mean,std,median,count
experiment,split,,,,,,,,,,,,
baseline_test,test_id,0.6253,0.2854,0.7322,129,20.3302,21.8768,8.6603,129,0.6434,0.2992,0.6667,129
baseline_test,test_ood,0.6645,0.2601,0.7729,129,18.7494,24.1653,6.4031,129,0.6634,0.3013,0.6667,129
baseline_val,val,0.6315,0.2678,0.7426,128,21.3389,25.0592,8.1268,128,0.6481,0.2728,0.6667,128
dice_test,test_id,0.6021,0.2988,0.7329,129,20.0014,22.7098,8.4259,122,0.6134,0.3108,0.6667,129
dice_test,test_ood,0.6376,0.267,0.7344,129,16.5012,20.6225,7.2434,125,0.614,0.2963,0.6667,129
dice_val,val,0.6028,0.2836,0.7139,128,19.3967,22.2773,8.2006,123,0.6233,0.2974,0.6667,128
focal-tversky_test,test_id,0.5931,0.2945,0.6989,129,22.4823,23.6886,11.7844,126,0.5615,0.2914,0.5714,129
focal-tversky_test,test_ood,0.6232,0.2632,0.7199,129,18.7307,21.2635,7.5498,127,0.573,0.2823,0.5714,129
focal-tversky_val,val,0.6059,0.2754,0.7155,128,19.4534,22.3991,8.9443,125,0.6144,0.283,0.6667,128
focal_test,test_id,0.4401,0.3443,0.5448,129,18.9188,22.639,8.0903,100,0.5152,0.3799,0.5,129
focal_test,test_ood,0.4947,0.3376,0.5949,129,16.9993,20.3863,7.5597,109,0.5624,0.3736,0.5714,129
focal_val,val,0.4287,0.3484,0.4656,128,22.4759,25.2725,9.3489,105,0.4839,0.3471,0.5,128
sampling_test,test_id,0.6083,0.3042,0.7308,129,20.8473,24.0794,7.0355,126,0.615,0.3162,0.6667,129
sampling_test,test_ood,0.6609,0.2719,0.777,129,16.453,21.4415,5.831,129,0.6308,0.3027,0.6667,129
sampling_val,val,0.6057,0.2811,0.7149,128,22.571,25.4482,9.0554,127,0.6002,0.2961,0.6667,128
tversky_test,test_id,0.5892,0.2871,0.6916,129,23.609,24.363,11.4448,129,0.5982,0.3019,0.6667,129
tversky_test,test_ood,0.619,0.2637,0.7142,129,19.7962,22.0765,7.2111,129,0.576,0.2911,0.5,129
tversky_val,val,0.6026,0.2768,0.7059,128,21.6596,25.0442,9.4868,127,0.6374,0.2907,0.6667,128
