,,dice,dice,dice,hd95_mm,hd95_mm,hd95_mm,lesion_f1,lesion_f1,lesion_f1,n_sites
,,site_mean,site_std,site_median,site_mean,site_std,site_median,site_mean,site_std,site_median,
experiment,split,,,,,,,,,,
baseline_test,test_id,0.6484,0.2536,0.6969,18.3521,19.0245,14.1031,0.6313,0.2635,0.6833,37
baseline_test,test_ood,0.5797,0.2843,0.7032,26.6092,24.8009,15.1808,0.5711,0.2857,0.6864,6
baseline_val,val,0.6658,0.1753,0.6856,17.078,14.1774,13.1732,0.7012,0.1743,0.6879,37
dice_test,test_id,0.6333,0.2552,0.6994,18.617,19.8454,11.4507,0.6055,0.2505,0.619,37
dice_test,test_ood,0.5656,0.2518,0.6554,23.4013,20.9907,15.4153,0.5432,0.2304,0.632,6
dice_val,val,0.6466,0.1916,0.6751,16.222,11.5157,14.8587,0.6764,0.2122,0.6924,37
focal-tversky_test,test_id,0.6163,0.2515,0.6834,20.7077,19.1849,14.6654,0.5512,0.2351,0.5743,37
focal-tversky_test,test_ood,0.5607,0.2587,0.6435,24.5941,17.5363,17.211,0.5171,0.2439,0.586,6
focal-tversky_val,val,0.6383,0.1884,0.6677,15.8595,11.506,12.3371,0.6718,0.2196,0.6667,37
focal_test,test_id,0.4654,0.2816,0.4568,16.546,19.749,11.3812,0.497,0.2808,0.5,37
focal_test,test_ood,0.3762,0.2542,0.4283,26.3655,21.7222,15.3647,0.4558,0.2506,0.4939,6
focal_val,val,0.4872,0.254,0.5804,20.1028,14.7305,16.9791,0.547,0.2571,0.5234,37
nnUNetTrainerBaseline_500epochs,test_id,0.6481,0.1788,0.6792,19.8105,17.105,15.3373,0.6065,0.1812,0.6005,37
nnUNetTrainerBaseline_500epochs,test_ood,0.5924,0.2576,0.7153,18.5186,12.9438,13.1235,0.5946,0.2282,0.6838,6
nnUNetTrainerBaseline_500epochs,val,0.6779,0.1868,0.7406,17.9339,18.0148,11.3028,0.6611,0.2035,0.6431,36
nnUNetTrainerFocalTversky_500epochs,test_id,0.6435,0.1699,0.6301,19.0718,16.9011,13.3231,0.6151,0.1858,0.617,37
nnUNetTrainerFocalTversky_500epochs,test_ood,0.5743,0.2434,0.6711,20.0613,14.3132,16.4949,0.5887,0.2115,0.6486,6
nnUNetTrainerFocalTversky_500epochs,val,0.6803,0.1591,0.6842,17.0477,14.3982,13.4751,0.6722,0.1838,0.6579,36
nnUNetTrainerLesionAwareSamplingPow_250epochs,test_id,0.625,0.2662,0.703,20.067,19.736,17.6638,0.5712,0.2598,0.5929,37
nnUNetTrainerLesionAwareSamplingPow_250epochs,test_ood,0.5578,0.2598,0.6925,23.0227,16.712,15.8287,0.533,0.2097,0.5882,6
nnUNetTrainerLesionAwareSamplingPow_250epochs,val,0.6373,0.1692,0.6635,19.2758,15.4199,16.9791,0.6105,0.203,0.5889,37
nnUNetTrainerLesionAwareSampling_500epochs_full,test_id,0.6453,0.1744,0.6677,17.844,14.5512,14.107,0.6143,0.1928,0.6415,37
nnUNetTrainerLesionAwareSampling_500epochs_full,test_ood,0.5874,0.2438,0.6952,17.2548,8.1613,14.3127,0.6081,0.2083,0.6885,6
nnUNetTrainerLesionAwareSampling_500epochs_full,val,0.6649,0.1863,0.715,18.2444,18.372,10.6886,0.6632,0.2029,0.6627,36
nnUNetTrainerTverskyMild_500epochs,test_id,0.6396,0.1936,0.6591,16.9621,13.7426,13.3429,0.6031,0.1874,0.6351,37
nnUNetTrainerTverskyMild_500epochs,test_ood,0.5869,0.2517,0.6735,20.0734,14.9777,16.1653,0.5976,0.2048,0.6531,6
nnUNetTrainerTverskyMild_500epochs,val,0.6704,0.198,0.7069,16.5915,16.9183,11.6427,0.677,0.2015,0.6667,36
sampling_test,test_id,0.6431,0.2596,0.7172,17.976,18.7853,12.463,0.6097,0.255,0.625,37
sampling_test,test_ood,0.5534,0.2878,0.7168,22.7201,19.4191,13.4887,0.5483,0.249,0.6288,6
sampling_val,val,0.6461,0.1873,0.6995,18.9947,15.9947,14.7382,0.6368,0.1864,0.6333,37
tversky_test,test_id,0.6042,0.2539,0.657,22.7142,19.3553,19.1096,0.5817,0.2378,0.625,37
tversky_test,test_ood,0.5607,0.2521,0.6478,24.3812,18.6885,18.423,0.5038,0.2613,0.5872,6
tversky_val,val,0.6323,0.1848,0.661,18.0189,15.3527,15.1832,0.6774,0.1919,0.6881,37
