fold,subset,size_bin,n,frac_of_subset
0,val,small,112,0.34890965732087226
0,val,medium,109,0.3395638629283489
0,val,large,100,0.3115264797507788
0,train,small,221,0.34477379095163807
0,train,medium,219,0.3416536661466459
0,train,large,199,0.31045241809672386
0,train,empty,2,0.0031201248049922
0,diagnostic,n_unique_sites_val,39,
0,diagnostic,n_sites_only_in_val,0,
1,val,small,110,0.3426791277258567
1,val,medium,109,0.3395638629283489
1,val,large,100,0.3115264797507788
1,val,empty,2,0.006230529595015576
1,train,small,223,0.34789391575663026
1,train,medium,219,0.3416536661466459
1,train,large,199,0.31045241809672386
1,diagnostic,n_unique_sites_val,43,
1,diagnostic,n_sites_only_in_val,2,
2,val,small,111,0.346875
2,val,medium,110,0.34375
2,val,large,99,0.309375
2,train,small,222,0.34579439252336447
2,train,medium,218,0.3395638629283489
2,train,large,200,0.3115264797507788
2,train,empty,2,0.003115264797507788
2,diagnostic,n_unique_sites_val,41,
2,diagnostic,n_sites_only_in_val,1,
